image_relpath,num_detections
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2944.JPG,29
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2945.JPG,10
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2947.JPG,35
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2948.JPG,10
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2949.JPG,8
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2950.JPG,7
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2951.JPG,4
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2952.JPG,49
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2953.JPG,19
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2954.JPG,24
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2955.JPG,35
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2956.JPG,30
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2957.JPG,7
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2958.JPG,0
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2959.JPG,0
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2960.JPG,0
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2961.JPG,1
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2962.JPG,2
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2963.JPG,12
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2964.JPG,4
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2965.JPG,25
Coral Garden\JULY 2024_CG_D\CG-D_T1\GOPR2966.JPG,17
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2970.JPG,40
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2971.JPG,10
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2972.JPG,10
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2973.JPG,11
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2974.JPG,3
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2975.JPG,1
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2976.JPG,6
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2977.JPG,5
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2978.JPG,8
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2979.JPG,18
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2980.JPG,38
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2981.JPG,24
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2982.JPG,25
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2983.JPG,43
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2984.JPG,31
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2985.JPG,22
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2986.JPG,33
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2987.JPG,14
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2988.JPG,22
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2989.JPG,15
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2990.JPG,11
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2991.JPG,15
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2992.JPG,13
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2993.JPG,13
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2994.JPG,48
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2995.JPG,27
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2996.JPG,6
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2997.JPG,3
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2998.JPG,0
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR2999.JPG,3
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR3000.JPG,23
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR3001.JPG,10
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR3002.JPG,9
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR3003.JPG,4
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR3004.JPG,2
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR3005.JPG,2
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR3006.JPG,7
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR3007.JPG,18
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR3008.JPG,33
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR3009.JPG,29
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR3010.JPG,27
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR3011.JPG,16
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR3014.JPG,18
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR3015.JPG,15
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR3016.JPG,18
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR3017.JPG,21
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR3018.JPG,19
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR3019.JPG,37
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR3021.JPG,16
Coral Garden\JULY 2024_CG_D\CG-D_T2\GOPR3022.JPG,29
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3025.JPG,26
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3026.JPG,2
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3027.JPG,11
