epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,2808.51,1.33036,1.16121,1.52621,0.66066,0.6203,0.66128,0.34932,1.57178,1.23131,1.78394,0.00044065,0.00044065,0.00044065
115,2833.09,1.33234,1.15226,1.52409,0.71061,0.59666,0.67087,0.35402,1.59559,1.24372,1.78352,0.0004357,0.0004357,0.0004357
116,2857.66,1.33628,1.13954,1.52403,0.67265,0.62649,0.6731,0.35322,1.59433,1.22835,1.79503,0.00043075,0.00043075,0.00043075
117,2882.25,1.32153,1.12716,1.51912,0.71451,0.642,0.6867,0.36255,1.57332,1.19611,1.79137,0.0004258,0.0004258,0.0004258
118,2906.79,1.324,1.13053,1.51454,0.71083,0.61217,0.6803,0.35681,1.57432,1.18551,1.77914,0.00042085,0.00042085,0.00042085
119,2931.35,1.33553,1.12698,1.52131,0.70293,0.63248,0.6917,0.36208,1.53837,1.18486,1.7579,0.0004159,0.0004159,0.0004159
120,2955.92,1.31773,1.10784,1.50305,0.69839,0.64382,0.69667,0.36477,1.56142,1.17952,1.77747,0.00041095,0.00041095,0.00041095
121,2980.51,1.29248,1.10405,1.49473,0.68144,0.64797,0.68736,0.36438,1.56526,1.20277,1.76858,0.000406,0.000406,0.000406
122,3005.08,1.32405,1.1294,1.51059,0.769,0.59905,0.70633,0.37192,1.58463,1.15099,1.80223,0.00040105,0.00040105,0.00040105
123,3029.66,1.30741,1.09903,1.49877,0.73758,0.62291,0.69706,0.36339,1.57334,1.18679,1.7831,0.0003961,0.0003961,0.0003961
124,3054.19,1.28655,1.0887,1.48094,0.71133,0.64396,0.69577,0.36154,1.5889,1.19845,1.77238,0.00039115,0.00039115,0.00039115
125,3078.78,1.29892,1.09713,1.48657,0.69388,0.65752,0.69994,0.36936,1.56937,1.1862,1.75825,0.0003862,0.0003862,0.0003862
126,3103.36,1.29201,1.09408,1.48213,0.72925,0.63961,0.69755,0.36452,1.58651,1.19318,1.78409,0.00038125,0.00038125,0.00038125
127,3127.89,1.28946,1.09175,1.49041,0.72865,0.63768,0.6998,0.37158,1.5799,1.16261,1.77563,0.0003763,0.0003763,0.0003763
128,3152.46,1.29923,1.09009,1.48419,0.69528,0.64916,0.6965,0.3651,1.61727,1.1684,1.81088,0.00037135,0.00037135,0.00037135
129,3177.05,1.28085,1.07863,1.47564,0.69778,0.67422,0.70472,0.36644,1.5964,1.18216,1.80362,0.0003664,0.0003664,0.0003664
130,3201.64,1.29856,1.06521,1.48008,0.71922,0.65036,0.71132,0.3716,1.60337,1.14238,1.81765,0.00036145,0.00036145,0.00036145
131,3226.18,1.26988,1.05088,1.46471,0.71975,0.66348,0.70482,0.37514,1.5993,1.15837,1.80074,0.0003565,0.0003565,0.0003565
132,3250.8,1.27813,1.0733,1.4696,0.72256,0.65394,0.71225,0.37712,1.58569,1.16829,1.79251,0.00035155,0.00035155,0.00035155
133,3275.45,1.28529,1.05869,1.4738,0.71827,0.64678,0.71608,0.38285,1.60018,1.15265,1.81328,0.0003466,0.0003466,0.0003466
134,3300.04,1.26354,1.05417,1.47046,0.70137,0.64558,0.71124,0.37957,1.57308,1.16418,1.78139,0.00034165,0.00034165,0.00034165
135,3324.54,1.26496,1.05625,1.46802,0.70412,0.65394,0.70125,0.375,1.59592,1.15232,1.80875,0.0003367,0.0003367,0.0003367
136,3349.03,1.2775,1.04546,1.46872,0.70674,0.64131,0.70197,0.37334,1.58674,1.1517,1.81298,0.00033175,0.00033175,0.00033175
137,3373.49,1.27945,1.05514,1.46238,0.73265,0.61814,0.70117,0.37076,1.58522,1.18237,1.79854,0.0003268,0.0003268,0.0003268
138,3397.98,1.26157,1.04675,1.45663,0.72222,0.65871,0.71245,0.3777,1.59126,1.13545,1.77665,0.00032185,0.00032185,0.00032185
139,3422.41,1.27143,1.04576,1.46264,0.7729,0.61326,0.70476,0.3816,1.602,1.12245,1.81033,0.0003169,0.0003169,0.0003169
140,3446.88,1.24578,1.01495,1.4384,0.71661,0.63365,0.70472,0.37897,1.58933,1.15439,1.80691,0.00031195,0.00031195,0.00031195
141,3471.37,1.2356,1.01235,1.43468,0.74826,0.63847,0.70674,0.38388,1.57213,1.17318,1.78125,0.000307,0.000307,0.000307
